,open,high,low,close,volume,value
2023-05-07 09:00:00,614.0,615.0,600.0,603.0,71315474.03340761,43495418973.887596
2023-05-08 09:00:00,603.0,605.0,565.0,577.0,251437562.00670636,146667397222.94702
2023-05-09 09:00:00,577.0,579.0,565.0,577.0,164250664.9944527,93815874655.18663
2023-05-10 09:00:00,577.0,584.0,561.0,577.0,186525235.3103665,107265559952.89485
2023-05-11 09:00:00,577.0,578.0,560.0,568.0,140525520.2549773,80042751632.02771
2023-05-12 09:00:00,567.0,599.0,563.0,583.0,291835534.4871409,169263089463.62683
2023-05-13 09:00:00,583.0,584.0,575.0,577.0,68305157.42271334,39533167687.41078
2023-05-14 09:00:00,577.0,584.0,573.0,576.0,67731400.40637495,39115165519.81221
2023-05-15 09:00:00,576.0,579.0,571.0,575.0,106745004.09576567,61443561929.70556
2023-05-16 09:00:00,576.0,597.0,566.0,596.0,181416424.55703267,104946453991.35565
2023-05-17 09:00:00,596.0,620.0,591.0,601.0,340139929.0402821,205656113052.9009
2023-05-18 09:00:00,600.0,635.0,594.0,620.0,375015754.01148874,232624720166.8264
2023-05-19 09:00:00,620.0,638.0,615.0,628.0,240498673.94982326,150532176525.41464
2023-05-20 09:00:00,628.0,634.0,622.0,630.0,83554716.64271025,52411650851.845856
2023-05-21 09:00:00,629.0,633.0,614.0,616.0,96823690.62977785,60491260542.59627
2023-05-22 09:00:00,616.0,625.0,606.0,618.0,136014204.9412549,83696867130.89084
2023-05-23 09:00:00,618.0,622.0,614.0,620.0,116055325.99861944,71668597368.69826
2023-05-24 09:00:00,621.0,621.0,601.0,609.0,134763053.51850528,82336075192.71793
2023-05-25 09:00:00,609.0,610.0,599.0,609.0,110473273.94282079,66852513041.71884
2023-05-26 09:00:00,609.0,630.0,607.0,627.0,164528913.43324298,102153534459.724
2023-05-27 09:00:00,628.0,642.0,624.0,629.0,130955732.13398926,82702699267.29782
2023-05-28 09:00:00,629.0,647.0,628.0,641.0,98924484.8646621,62902210481.378914
2023-05-29 09:00:00,642.0,659.0,635.0,658.0,167834006.92163774,108414234912.3751
2023-05-30 09:00:00,659.0,704.0,653.0,693.0,440385723.00562125,298770307314.5339
2023-05-31 09:00:00,693.0,704.0,670.0,692.0,352874033.99764365,242603308937.3469
2023-06-01 09:00:00,692.0,692.0,673.0,676.0,181604176.61081293,123327405466.69717
2023-06-02 09:00:00,676.0,698.0,673.0,695.0,164960354.80834112,113183919133.6861
2023-06-03 09:00:00,695.0,704.0,684.0,688.0,122812754.63099843,85072510084.06529
2023-06-04 09:00:00,688.0,720.0,684.0,709.0,184991167.83507812,130073645612.6093
2023-06-05 09:00:00,709.0,718.0,652.0,678.0,445619072.30102026,305388789784.0659
2023-06-06 09:00:00,679.0,702.0,656.0,697.0,349963342.64287794,236771908062.16992
2023-06-07 09:00:00,698.0,710.0,675.0,689.0,339375627.8360889,235792321063.33932
2023-06-08 09:00:00,688.0,695.0,683.0,691.0,141981629.2779526,97847407698.44026
2023-06-09 09:00:00,690.0,710.0,687.0,707.0,198122796.5274411,138652248241.14716
2023-06-10 09:00:00,707.0,708.0,638.0,674.0,580009781.7004474,385505487233.6609
2023-06-11 09:00:00,674.0,700.0,666.0,690.0,164401118.72112137,111659760385.95398
2023-06-12 09:00:00,690.0,694.0,675.0,689.0,179080447.51697773,122412827918.2643
2023-06-13 09:00:00,689.0,735.0,664.0,679.0,691040930.8078254,485196409995.4703
2023-06-14 09:00:00,678.0,681.0,609.0,631.0,399850658.1820058,259291920892.90588
2023-06-15 09:00:00,630.0,638.0,612.0,627.0,266082967.36832514,166320447554.91345
2023-06-16 09:00:00,627.0,630.0,602.0,624.0,261651532.94326836,161039149596.6809
2023-06-17 09:00:00,624.0,637.0,615.0,629.0,148045166.923679,92854230675.66812
2023-06-18 09:00:00,629.0,651.0,625.0,638.0,165246103.3360127,105440977914.06183
2023-06-19 09:00:00,637.0,650.0,632.0,644.0,136490685.59460607,87677670005.06427
2023-06-20 09:00:00,644.0,650.0,622.0,644.0,218560116.77861416,139302332715.74304
2023-06-21 09:00:00,644.0,658.0,640.0,654.0,268650336.23721206,174692764168.66614
2023-06-22 09:00:00,653.0,691.0,641.0,647.0,452855281.01073873,300616872847.19037
2023-06-23 09:00:00,647.0,663.0,643.0,656.0,273879608.04961073,178969176928.81506
2023-06-24 09:00:00,657.0,659.0,642.0,649.0,201999328.86117306,131605274790.85359
2023-06-25 09:00:00,648.0,660.0,644.0,649.0,184947577.94671357,120493921712.21294
2023-06-26 09:00:00,650.0,652.0,628.0,635.0,205266338.61948693,131041280889.18744
2023-06-27 09:00:00,635.0,641.0,631.0,639.0,155451423.94226706,98870221876.49702
2023-06-28 09:00:00,639.0,641.0,610.0,618.0,170410074.6310013,106988259019.92003
2023-06-29 09:00:00,618.0,637.0,614.0,632.0,140638690.87074044,87939555017.42178
2023-06-30 09:00:00,633.0,643.0,604.0,630.0,326094702.1374734,205348802926.57635
2023-07-01 09:00:00,630.0,634.0,620.0,630.0,204314362.72613937,128099885974.19589
2023-07-02 09:00:00,630.0,661.0,625.0,643.0,439522128.23246485,283340210317.7051
2023-07-03 09:00:00,642.0,647.0,635.0,647.0,170527829.1844872,109239790041.32404
2023-07-04 09:00:00,646.0,650.0,636.0,643.0,129794975.7522664,83556829682.5033
2023-07-05 09:00:00,644.0,649.0,621.0,632.0,181889100.54911533,115463622365.47269
2023-07-06 09:00:00,633.0,638.0,616.0,617.0,173372344.0537048,108750039312.20576
2023-07-07 09:00:00,617.0,624.0,613.0,621.0,96916922.9321265,60049004226.79285
2023-07-08 09:00:00,620.0,629.0,617.0,623.0,65625818.25610847,40760690982.73067
2023-07-09 09:00:00,622.0,624.0,617.0,618.0,48383960.8076008,30037545477.872814
2023-07-10 09:00:00,618.0,632.0,614.0,628.0,122792479.1520684,76308847407.51968
2023-07-11 09:00:00,628.0,629.0,621.0,623.0,84862446.94184925,52980846663.15727
2023-07-12 09:00:00,624.0,624.0,612.0,617.0,116032199.62940188,71832507990.0724
2023-07-13 09:00:00,617.0,1125.0,612.0,1040.0,2593243804.3059754,2316124822333.557
2023-07-14 09:00:00,1040.0,1055.0,875.0,926.0,1646483869.0518625,1593207555698.976
2023-07-15 09:00:00,925.0,944.0,890.0,918.0,717501219.2310817,659654844760.6542
2023-07-16 09:00:00,917.0,1015.0,908.0,961.0,896272556.2075171,863556271067.8531
2023-07-17 09:00:00,961.0,983.0,923.0,947.0,459525084.60558325,438393034014.8886
2023-07-18 09:00:00,947.0,1010.0,941.0,1005.0,553614266.0032004,536235869949.55194
2023-07-19 09:00:00,1000.0,1090.0,991.0,1050.0,592731640.2024119,610133342463.2009
2023-07-20 09:00:00,1050.0,1090.0,1000.0,1025.0,350215821.4142158,366286376081.28723
2023-07-21 09:00:00,1025.0,1035.0,987.0,1005.0,226123222.35506645,228130687214.2993
2023-07-22 09:00:00,1005.0,1010.0,943.0,955.0,256378927.72482255,251960507865.59915
2023-07-23 09:00:00,955.0,971.0,930.0,956.0,312308012.71629584,298169186828.857
2023-07-24 09:00:00,956.0,961.0,892.0,912.0,441891566.4545026,405562833927.4916
2023-07-25 09:00:00,912.0,929.0,877.0,919.0,386420500.4399387,348867367355.82324
2023-07-26 09:00:00,919.0,944.0,898.0,925.0,239631726.0735937,219740351590.72406
2023-07-27 09:00:00,924.0,948.0,916.0,925.0,178143310.05662218,165475357713.20218
2023-07-28 09:00:00,926.0,931.0,914.0,922.0,128348199.92527144,118403723809.04918
2023-07-29 09:00:00,921.0,925.0,914.0,919.0,81124728.52254608,74595785565.03662
2023-07-30 09:00:00,920.0,952.0,900.0,911.0,270435583.58825046,250968131097.67535
2023-07-31 09:00:00,911.0,933.0,895.0,906.0,152371366.72330245,138868425463.80255
2023-08-01 09:00:00,907.0,920.0,889.0,919.0,187303629.0537162,169022749424.39587
2023-08-02 09:00:00,919.0,921.0,895.0,902.0,125892574.17431618,114482886282.69144
2023-08-03 09:00:00,902.0,904.0,868.0,872.0,202386190.38939384,178776171255.39362
2023-08-04 09:00:00,873.0,882.0,832.0,842.0,216494887.677723,186727052852.5484
2023-08-05 09:00:00,842.0,842.0,807.0,832.0,211902034.16026312,174887056641.66116
2023-08-06 09:00:00,833.0,847.0,825.0,828.0,110301759.98105362,92419454254.45341
2023-08-07 09:00:00,829.0,834.0,800.0,824.0,205717425.04712346,168051552427.46622
2023-08-08 09:00:00,825.0,855.0,816.0,850.0,150876170.54551837,125553025351.74274
2023-08-09 09:00:00,849.0,884.0,841.0,851.0,263271903.93247882,226699460620.25845
2023-08-10 09:00:00,851.0,855.0,828.0,840.0,165982034.50922105,139414061739.43842
2023-08-11 09:00:00,840.0,853.0,837.0,841.0,87274471.3056483,73616846235.64227
2023-08-12 09:00:00,842.0,844.0,834.0,837.0,51228146.83904202,43023945289.91584
2023-08-13 09:00:00,838.0,850.0,835.0,837.0,51433066.22151097,43200633537.42419
2023-08-14 09:00:00,837.0,849.0,834.0,846.0,77854773.30453277,65412361871.70961
2023-08-15 09:00:00,846.0,847.0,803.0,823.0,125016455.53968526,103869291230.57256
2023-08-16 09:00:00,824.0,837.0,789.0,799.0,316375001.1223073,256696354127.30988
2023-08-17 09:00:00,799.0,808.0,673.0,697.0,546339937.4970651,401977809357.0901
2023-08-18 09:00:00,697.0,717.0,662.0,696.0,534966692.07871664,368496160525.1572
2023-08-19 09:00:00,697.0,724.0,691.0,717.0,221138239.22476986,156643098266.1854
2023-08-20 09:00:00,718.0,767.0,714.0,739.0,346882728.8836387,257021390282.27307
2023-08-21 09:00:00,739.0,741.0,698.0,717.0,229272113.71465588,164520072928.54407
2023-08-22 09:00:00,718.0,719.0,693.0,713.0,167496312.12355474,118630568227.02512
2023-08-23 09:00:00,713.0,728.0,705.0,720.0,134510248.9765976,96084138487.79407
2023-08-24 09:00:00,720.0,722.0,698.0,701.0,100928524.49927989,71680986756.80972
